               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10572,            0.032941,            0.021616,            0.009238,               0.419,            0.033795,           0.0084781,            0.087575,            0.021962,            0.011961,              0.0757,              0.0027,              0.0027
                   1,            0.077334,            0.022752,           0.0090153,              0.8236,               0.256,              0.3117,             0.11024,            0.071035,            0.017855,           0.0055641,            0.050482,           0.0054818,           0.0054818
                   2,             0.07059,            0.016494,            0.005035,             0.40044,             0.59601,             0.48522,             0.17586,             0.06622,            0.014468,           0.0035166,            0.025245,           0.0082452,           0.0082452
                   3,            0.063336,            0.014326,           0.0042657,             0.45559,             0.57666,             0.45111,             0.19265,            0.065741,            0.019024,           0.0028971,            0.009901,            0.009901,            0.009901
                   4,            0.054814,            0.012409,           0.0033488,             0.56144,             0.65378,             0.57146,             0.21559,            0.060607,            0.017358,            0.002136,            0.009901,            0.009901,            0.009901
                   5,             0.04863,            0.011734,           0.0029179,             0.67921,             0.66972,             0.65294,             0.30631,            0.049074,            0.014959,           0.0027741,            0.009868,            0.009868,            0.009868
                   6,             0.04536,            0.011139,           0.0024815,             0.75787,             0.69675,             0.71029,             0.29848,            0.052973,            0.014852,           0.0028247,            0.009835,            0.009835,            0.009835
                   7,            0.043661,            0.010914,            0.002474,              0.8288,             0.64261,             0.70061,             0.32798,            0.047665,            0.014226,           0.0029173,            0.009802,            0.009802,            0.009802
                   8,            0.042609,             0.01082,           0.0023775,             0.82715,             0.73129,             0.76316,              0.3382,            0.046707,            0.013181,           0.0023746,            0.009769,            0.009769,            0.009769
                   9,            0.040829,            0.010548,           0.0022183,             0.82428,             0.75316,             0.77927,             0.38367,            0.041704,            0.013528,            0.002748,            0.009736,            0.009736,            0.009736
                  10,            0.039737,            0.010561,           0.0020272,              0.7982,             0.72045,             0.69241,             0.30522,            0.047067,             0.01379,           0.0022616,            0.009703,            0.009703,            0.009703
                  11,            0.038548,            0.010486,           0.0019177,             0.86634,             0.71749,             0.76184,             0.35869,            0.045549,            0.013812,           0.0028747,             0.00967,             0.00967,             0.00967
                  12,            0.038138,            0.010021,           0.0017895,             0.84459,             0.73258,             0.74933,             0.35033,            0.043717,            0.014079,           0.0023201,            0.009637,            0.009637,            0.009637
                  13,            0.036894,            0.010093,           0.0017279,             0.86014,              0.7486,             0.78316,             0.39399,            0.041222,            0.013763,           0.0023919,            0.009604,            0.009604,            0.009604
                  14,            0.037361,            0.010274,           0.0019118,             0.76126,             0.74858,             0.73433,              0.3727,            0.042976,            0.013536,           0.0019903,            0.009571,            0.009571,            0.009571
                  15,            0.036196,           0.0097014,           0.0018862,             0.88552,              0.7434,             0.78003,             0.36528,            0.044136,            0.013513,           0.0025463,            0.009538,            0.009538,            0.009538
                  16,            0.035579,           0.0098056,           0.0016452,             0.86491,             0.70896,             0.74301,             0.39236,            0.044694,            0.014533,           0.0029553,            0.009505,            0.009505,            0.009505
                  17,            0.034825,           0.0095434,            0.001667,             0.87521,             0.75502,             0.79116,             0.40987,            0.039781,             0.01338,           0.0027726,            0.009472,            0.009472,            0.009472
                  18,            0.035214,           0.0097835,           0.0018522,             0.74717,             0.74505,             0.71289,             0.39043,            0.040618,            0.013413,           0.0018924,            0.009439,            0.009439,            0.009439
                  19,            0.034683,           0.0093393,           0.0015933,             0.88266,             0.73466,             0.77696,             0.38528,            0.042611,            0.013966,           0.0034035,            0.009406,            0.009406,            0.009406
                  20,            0.033951,           0.0096192,           0.0015413,             0.88943,              0.7496,             0.80064,             0.42318,            0.039472,            0.013417,             0.00237,            0.009373,            0.009373,            0.009373
                  21,            0.033636,           0.0095396,           0.0016261,             0.88893,             0.75832,             0.79188,             0.44342,            0.037981,             0.01469,            0.002224,             0.00934,             0.00934,             0.00934
                  22,            0.033397,            0.009452,           0.0015916,             0.90658,             0.74521,             0.79293,             0.44345,            0.037009,            0.014577,           0.0022692,            0.009307,            0.009307,            0.009307
                  23,            0.032632,           0.0091204,           0.0015333,             0.90265,             0.74565,             0.78074,             0.42255,            0.037475,            0.014546,           0.0023757,            0.009274,            0.009274,            0.009274
                  24,            0.032883,           0.0090534,           0.0015654,             0.88944,             0.73329,             0.76348,             0.37945,            0.041851,            0.015615,           0.0025564,            0.009241,            0.009241,            0.009241
                  25,            0.031703,           0.0092859,           0.0013866,              0.8913,             0.74808,             0.77884,             0.42269,             0.03893,            0.015217,            0.003021,            0.009208,            0.009208,            0.009208
                  26,            0.032011,             0.00912,           0.0014266,             0.91531,              0.7564,             0.79753,             0.43523,            0.037563,            0.014912,           0.0031242,            0.009175,            0.009175,            0.009175
                  27,            0.032109,           0.0093861,           0.0015864,             0.89589,              0.7496,             0.79215,             0.41632,            0.042984,            0.014021,           0.0024308,            0.009142,            0.009142,            0.009142
                  28,            0.031967,           0.0092944,           0.0015559,             0.91055,             0.74691,             0.78346,             0.44018,            0.038488,            0.015068,            0.002614,            0.009109,            0.009109,            0.009109
                  29,            0.031318,           0.0091439,           0.0015133,             0.89172,             0.75082,             0.77862,             0.44167,             0.03732,            0.015547,           0.0046166,            0.009076,            0.009076,            0.009076
                  30,            0.031101,           0.0089688,           0.0014955,             0.90231,             0.74868,             0.79345,             0.42229,            0.038203,            0.014723,           0.0027392,            0.009043,            0.009043,            0.009043
                  31,            0.030536,           0.0089347,           0.0012917,             0.90514,             0.75293,             0.78748,             0.45792,            0.036183,            0.015718,           0.0029629,             0.00901,             0.00901,             0.00901
                  32,            0.030356,           0.0088702,           0.0012894,             0.91353,             0.76074,             0.79592,             0.44715,            0.036415,            0.014959,           0.0043007,            0.008977,            0.008977,            0.008977
                  33,            0.031003,           0.0086996,           0.0014431,             0.90247,             0.76708,             0.79479,             0.46665,            0.035946,             0.01518,            0.004649,            0.008944,            0.008944,            0.008944
                  34,            0.029719,           0.0087146,           0.0013793,             0.89108,             0.76403,             0.81026,             0.44573,            0.036727,             0.01458,           0.0026857,            0.008911,            0.008911,            0.008911
                  35,            0.030155,            0.008374,           0.0013245,             0.90316,               0.753,             0.78264,             0.44677,            0.037302,            0.014928,           0.0044769,            0.008878,            0.008878,            0.008878
                  36,            0.029379,           0.0090279,           0.0012872,             0.90112,             0.76362,             0.79609,             0.44904,            0.037097,            0.014442,           0.0038054,            0.008845,            0.008845,            0.008845
                  37,            0.030138,            0.008623,           0.0013576,             0.91173,              0.7559,             0.79441,              0.4623,            0.035654,            0.015236,           0.0058576,            0.008812,            0.008812,            0.008812
                  38,             0.02955,           0.0086672,           0.0014046,              0.9138,             0.74316,             0.76971,             0.43178,            0.037168,            0.015734,           0.0046844,            0.008779,            0.008779,            0.008779
                  39,             0.02927,           0.0086704,           0.0013317,             0.90207,             0.75911,             0.79405,             0.45927,            0.034527,            0.014368,           0.0026316,            0.008746,            0.008746,            0.008746
                  40,            0.029014,           0.0084365,           0.0012552,             0.90579,             0.76467,             0.80125,             0.47608,            0.034047,            0.014954,           0.0023881,            0.008713,            0.008713,            0.008713
                  41,            0.028602,           0.0085796,           0.0012459,              0.9092,             0.74655,             0.78679,              0.4208,            0.038278,            0.015511,           0.0034691,             0.00868,             0.00868,             0.00868
                  42,            0.028711,           0.0083997,           0.0012262,             0.91978,             0.74951,             0.79324,             0.47662,            0.035362,             0.01527,           0.0032719,            0.008647,            0.008647,            0.008647
                  43,            0.028509,           0.0081756,           0.0013038,              0.9097,             0.74684,             0.78429,             0.45532,            0.036323,              0.0154,           0.0041127,            0.008614,            0.008614,            0.008614
                  44,            0.027775,           0.0082498,           0.0012201,             0.88689,             0.75815,             0.78247,             0.42609,             0.03693,            0.015326,           0.0024331,            0.008581,            0.008581,            0.008581
                  45,            0.028848,           0.0085451,           0.0012307,             0.91787,              0.7394,             0.79414,             0.45277,            0.035371,            0.014575,           0.0023477,            0.008548,            0.008548,            0.008548
                  46,            0.028269,           0.0084799,           0.0011652,             0.89609,             0.74922,             0.79351,             0.45861,            0.035212,            0.015586,           0.0038147,            0.008515,            0.008515,            0.008515
                  47,             0.02809,           0.0084506,           0.0011336,             0.91167,             0.74711,             0.78966,             0.45034,            0.035781,            0.016301,           0.0034274,            0.008482,            0.008482,            0.008482
                  48,            0.027953,           0.0083701,           0.0011889,              0.9281,             0.75145,             0.78881,              0.4588,            0.035109,            0.016264,           0.0034653,            0.008449,            0.008449,            0.008449
                  49,            0.027587,           0.0082951,           0.0012115,             0.90402,             0.75519,             0.79507,             0.47615,            0.034054,            0.014603,           0.0030603,            0.008416,            0.008416,            0.008416
                  50,            0.027222,           0.0085197,           0.0011393,             0.89171,             0.75713,             0.78522,             0.43244,            0.036897,            0.016009,           0.0045858,            0.008383,            0.008383,            0.008383
                  51,            0.027091,           0.0082557,            0.001164,             0.89729,             0.75432,             0.77895,             0.44922,            0.035859,            0.016011,           0.0027954,             0.00835,             0.00835,             0.00835
                  52,             0.02766,           0.0081982,           0.0011491,             0.89604,             0.75681,             0.78892,             0.46438,            0.034614,            0.015684,           0.0022886,            0.008317,            0.008317,            0.008317
                  53,            0.027268,           0.0083337,           0.0011271,             0.90898,             0.76077,              0.8042,             0.47329,            0.034081,             0.01556,           0.0027405,            0.008284,            0.008284,            0.008284
                  54,            0.027259,           0.0081285,           0.0012376,             0.92103,             0.74798,             0.77679,              0.4436,            0.036448,            0.016182,           0.0030309,            0.008251,            0.008251,            0.008251
                  55,            0.027041,           0.0081394,           0.0013042,             0.91285,             0.74938,             0.77966,             0.45675,            0.035082,            0.016073,           0.0031265,            0.008218,            0.008218,            0.008218
                  56,            0.026708,           0.0078238,           0.0014555,             0.89884,             0.76091,             0.77596,             0.44035,            0.036453,            0.015397,           0.0024476,            0.008185,            0.008185,            0.008185
